epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,6892.74,0.92675,0.64983,0.97929,0.77576,0.84615,0.86907,0.6281,0.95319,0.66924,1.02302,0.000445756,0.000445756,0.000445756
39,7086.72,0.92863,0.60695,0.98897,0.81507,0.88462,0.88294,0.61613,0.994,0.76424,1.10505,0.000412749,0.000412749,0.000412749
40,7279.99,0.92344,0.61216,0.97351,0.78606,0.84266,0.84214,0.64117,0.92775,0.73989,1.12198,0.000379743,0.000379743,0.000379743
41,7473.94,0.91167,0.55813,0.97157,0.79139,0.76923,0.81246,0.64641,0.87771,0.6952,1.05544,0.000346736,0.000346736,0.000346736
42,7670.09,0.859,0.54114,0.9554,0.83692,0.84615,0.89475,0.66714,0.88425,0.62755,1.03909,0.000313729,0.000313729,0.000313729
43,7869.96,0.87555,0.54641,0.94838,0.91393,0.76218,0.85725,0.64202,0.92863,0.64404,1.04227,0.000280723,0.000280723,0.000280723
44,8070.29,0.86281,0.52357,0.95386,0.79827,0.88462,0.85131,0.64103,0.86284,0.6215,1.03116,0.000247716,0.000247716,0.000247716
45,8270.73,0.8483,0.52492,0.96057,0.90783,0.83915,0.86993,0.65527,0.87271,0.59922,1.01545,0.00021471,0.00021471,0.00021471
46,8470.66,0.84426,0.50163,0.9467,0.83805,0.76923,0.809,0.65617,0.87731,0.61028,1.01402,0.000181703,0.000181703,0.000181703
47,8674.09,0.82332,0.49966,0.9323,0.84874,0.76517,0.81247,0.64075,0.88865,0.56708,1.03452,0.000148696,0.000148696,0.000148696
48,8866.71,0.81728,0.48554,0.93289,0.86543,0.80769,0.87448,0.66765,0.83788,0.56965,1.0027,0.00011569,0.00011569,0.00011569
49,9058.15,0.78424,0.48548,0.92707,0.8086,0.80769,0.86666,0.661,0.84537,0.58386,1.01124,8.26832e-05,8.26832e-05,8.26832e-05
50,9252.71,0.79512,0.47728,0.93073,0.78779,0.76923,0.79449,0.64544,0.84893,0.57511,1.01488,4.96766e-05,4.96766e-05,4.96766e-05
