epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.016,1.27101,1.82484,1.17522,0.71579,0.68041,0.69367,0.47917,0.96077,1.33989,1.12705,0.0005001,0.0005001,0.0005001
2,357.286,1.29544,1.17878,1.17177,0.51717,0.64423,0.49481,0.35046,1.52663,3.00608,1.34943,0.000996736,0.000996736,0.000996736
3,534.217,1.33036,1.12316,1.21355,0.31163,0.44551,0.35044,0.23659,1.44545,2.08121,1.43744,0.00147291,0.00147291,0.00147291
4,713.407,1.29458,1.07124,1.21773,0.5097,0.64744,0.58075,0.34097,1.50429,1.8409,1.41221,0.00156798,0.00156798,0.00156798
5,891.968,1.31679,1.04688,1.18524,0.62246,0.49038,0.6003,0.39275,1.436,1.57537,1.43459,0.00153497,0.00153497,0.00153497
6,1070.76,1.30682,1.03498,1.21156,0.61446,0.52717,0.51445,0.33815,1.63222,1.6348,1.41067,0.00150197,0.00150197,0.00150197
7,1243.53,1.22513,0.94952,1.13756,0.78501,0.5641,0.65694,0.37039,1.39021,1.48345,1.31651,0.00146896,0.00146896,0.00146896
8,1423.65,1.21585,0.97888,1.14538,0.77379,0.75737,0.68177,0.4709,1.43268,0.88594,1.36807,0.00143595,0.00143595,0.00143595
9,1605.1,1.2038,0.94098,1.14955,0.77926,0.75892,0.77256,0.45917,1.37252,1.00946,1.317,0.00140295,0.00140295,0.00140295
10,1786.25,1.21067,0.92403,1.13998,0.73566,0.73315,0.80868,0.50633,1.12235,0.9072,1.11333,0.00136994,0.00136994,0.00136994
11,1972.71,1.19632,0.90967,1.11175,0.52978,0.88141,0.79003,0.50241,1.19925,0.92685,1.1735,0.00133693,0.00133693,0.00133693
12,2148.19,1.13721,0.88168,1.11146,0.56939,0.72756,0.75094,0.4706,1.11048,0.9794,1.15234,0.00130393,0.00130393,0.00130393
13,2318.96,1.14155,0.87795,1.09485,0.78789,0.76282,0.83825,0.53024,1.1941,0.85443,1.24384,0.00127092,0.00127092,0.00127092
14,2486.55,1.13893,0.87068,1.09257,0.86726,0.8415,0.8972,0.5557,1.21245,0.87662,1.15746,0.00123791,0.00123791,0.00123791
15,2655.95,1.12224,0.84902,1.10262,0.62682,0.78432,0.79734,0.54848,1.10355,0.86568,1.13449,0.00120491,0.00120491,0.00120491
16,2824.08,1.10886,0.85701,1.08736,0.63111,0.73077,0.77906,0.4777,1.28923,0.87323,1.15872,0.0011719,0.0011719,0.0011719
17,2993.24,1.10821,0.82648,1.07527,0.79783,0.80769,0.87166,0.58158,1.11776,0.81621,1.07318,0.00113889,0.00113889,0.00113889
18,3165.77,1.09973,0.83015,1.06251,0.72212,0.88462,0.89462,0.5535,1.21759,0.8447,1.18911,0.00110589,0.00110589,0.00110589
19,3341.01,1.05701,0.79708,1.06057,0.73542,0.78404,0.83493,0.54955,1.20046,0.83674,1.15658,0.00107288,0.00107288,0.00107288
20,3518.18,1.06508,0.77008,1.05179,0.70817,0.88462,0.851,0.57143,1.17249,0.75364,1.10152,0.00103987,0.00103987,0.00103987
21,3695.3,1.07889,0.81435,1.04134,0.77843,0.90797,0.91388,0.60929,1.11647,0.72923,1.06889,0.00100687,0.00100687,0.00100687
22,3876.05,1.061,0.76597,1.03115,0.80891,0.79625,0.86098,0.60391,1.01053,0.75928,1.04787,0.000973861,0.000973861,0.000973861
23,4064.14,1.02911,0.76107,1.03699,0.79995,0.88462,0.88076,0.59116,1.05354,0.77828,1.04875,0.000940855,0.000940855,0.000940855
24,4249.53,1.03658,0.7527,1.04504,0.72642,0.72526,0.8162,0.58025,1.09261,0.86439,1.0609,0.000907848,0.000907848,0.000907848
25,4431.43,1.0189,0.73076,1.02673,0.88776,0.89918,0.908,0.64653,1.08628,0.70829,1.05573,0.000874842,0.000874842,0.000874842
26,4614.45,1.04533,0.74849,1.04358,0.76939,0.8826,0.87575,0.58477,1.22796,0.70413,1.12218,0.000841835,0.000841835,0.000841835
27,4796.5,1.02783,0.73573,1.02749,0.72621,0.85496,0.8247,0.58195,1.11552,0.7642,1.07362,0.000808828,0.000808828,0.000808828
28,4979.87,0.99321,0.70586,1.02302,0.92839,0.84224,0.84546,0.57522,1.1672,0.86202,1.08492,0.000775822,0.000775822,0.000775822
29,5164.6,1.01539,0.73053,1.0164,0.93532,0.84544,0.87189,0.55727,1.21521,0.77967,1.14567,0.000742815,0.000742815,0.000742815
30,5353.52,1.00165,0.69852,1.01793,0.86536,0.81529,0.88315,0.60396,1.11547,0.66425,1.07532,0.000709809,0.000709809,0.000709809
31,5541.43,0.99845,0.68208,1.01115,0.72842,0.84615,0.82638,0.61324,0.99671,0.69464,1.09312,0.000676802,0.000676802,0.000676802
32,5731.26,0.97257,0.68733,1.01124,0.81735,0.76923,0.81386,0.58599,1.01427,0.79093,1.0759,0.000643795,0.000643795,0.000643795
33,5923.88,0.93955,0.65769,0.98793,0.81503,0.76923,0.83935,0.57485,0.99698,0.69232,1.05544,0.000610789,0.000610789,0.000610789
34,6117.6,0.96704,0.66883,0.98745,0.76001,0.80769,0.81622,0.57429,1.04802,0.79523,1.08467,0.000577782,0.000577782,0.000577782
35,6319.26,0.94878,0.65285,0.98479,0.84659,0.80769,0.84586,0.59784,0.98953,0.74003,1.05119,0.000544776,0.000544776,0.000544776
36,6509.87,0.94506,0.63101,0.98296,0.84791,0.80769,0.86122,0.60798,1.04097,0.73914,1.04321,0.000511769,0.000511769,0.000511769
37,6702.31,0.9702,0.66237,0.98989,0.81072,0.84615,0.82881,0.61372,1.01696,0.69825,1.02547,0.000478762,0.000478762,0.000478762
