epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.929,1.27101,1.82484,1.17522,0.6901,0.66345,0.6594,0.47513,1.01048,1.32306,1.1406,0.0005001,0.0005001,0.0005001
2,500.299,1.26166,1.1599,1.14969,0.75244,0.7496,0.79149,0.51089,1.19964,1.29459,1.22863,0.000681303,0.000681303,0.000681303
3,750.396,1.19549,0.99867,1.10638,0.47398,0.77778,0.6585,0.47161,0.9962,1.2172,1.10601,0.000521438,0.000521438,0.000521438
