epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.744,1.27101,1.82484,1.17522,0.71579,0.68041,0.69367,0.47917,0.96077,1.33989,1.12705,0.0005001,0.0005001,0.0005001
2,377.133,1.29544,1.17878,1.17177,0.51717,0.64423,0.49481,0.35046,1.52663,3.00608,1.34943,0.000996736,0.000996736,0.000996736
3,572.8,1.33036,1.12316,1.21355,0.31163,0.44551,0.35044,0.23659,1.44545,2.08121,1.43744,0.00147291,0.00147291,0.00147291
4,768.017,1.29458,1.07124,1.21773,0.5097,0.64744,0.58075,0.34097,1.50429,1.8409,1.41221,0.00156798,0.00156798,0.00156798
5,951.271,1.31679,1.04688,1.18524,0.62246,0.49038,0.6003,0.39275,1.436,1.57537,1.43459,0.00153497,0.00153497,0.00153497
6,1135.9,1.30682,1.03498,1.21156,0.61446,0.52717,0.51445,0.33815,1.63222,1.6348,1.41067,0.00150197,0.00150197,0.00150197
7,1312.43,1.22513,0.94952,1.13756,0.78501,0.5641,0.65694,0.37039,1.39021,1.48345,1.31651,0.00146896,0.00146896,0.00146896
8,1499.63,1.21585,0.97888,1.14538,0.77379,0.75737,0.68177,0.4709,1.43268,0.88594,1.36807,0.00143595,0.00143595,0.00143595
9,1688.47,1.2038,0.94098,1.14955,0.77926,0.75892,0.77256,0.45917,1.37252,1.00946,1.317,0.00140295,0.00140295,0.00140295
10,1874.02,1.21067,0.92403,1.13998,0.73566,0.73315,0.80868,0.50633,1.12235,0.9072,1.11333,0.00136994,0.00136994,0.00136994
